trait
helpful
reliant
defbel
yielding
cheerful
indpt
athlet
shy
assert
strpers
forceful
affect
flatter
loyal
analyt
feminine
sympathy
moody
sensitiv
undstand
compass
leaderab
soothe
risk
decide
selfsuff
conscien
dominant
masculin
stand
happy
softspok
warm
truthful
tender
gullible
leadact
childlik
individ
foullang
lovchil
compete
ambitiou
gentle
